Date,PortfolioValue
2026-02-17,1167784.3460464478
2026-02-18,1170328.4851608276
2026-02-19,1172685.3325881958
2026-02-20,1177229.0482559204
2026-02-23,1177347.9445114136
2026-02-24,1172122.9410476687
2026-02-25,1171210.6048965456
2026-02-26,1164444.9501876833
2026-02-27,1165830.2885513308
2026-03-02,1152092.0490951538
2026-03-03,1149388.5480880737
2026-03-04,1148825.8622665405
2026-03-05,1151281.6904678345
2026-03-06,1154536.6536941528
2026-03-09,1158687.3255386353
2026-03-10,1156686.714378357
2026-03-11,1158028.7864151
2026-03-12,1161005.2554397583
2026-03-13,1168694.9688491821
2026-03-16,1168603.9455947876
2026-03-17,1171971.6430282593
2026-03-18,1172067.498512268
2026-03-19,1174742.2515792847
2026-03-20,1174955.6290512085
2026-03-23,1168284.9306869507
2026-03-24,1170838.7295455933
2026-03-25,1169508.4156265259
2026-03-26,1184897.711051941
2026-03-27,1183312.629890442
2026-03-30,1183193.7869491577
